"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1974 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1975 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1976 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1977 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1978 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1979 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1980 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1981 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1982 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1983 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1984 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1985 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1986 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1987 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1988 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1989 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1990 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1991 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1992 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1993 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1994 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1995 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1996 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1997 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1998 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1999 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2000 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2001 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2002 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2003 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2004 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2005 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2006 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2007 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2008 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2009 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2010 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2011 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2012 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2013 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2014 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2015 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2016 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2017 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2018 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2019 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2020 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2021 (ha)"
"Pouso Novo","4315131","-29.173800000000","-52.213600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","0","35","35","35","35","40","40","40","30","30","30","25","18","18","-","18","18","18","10","6","-","-","-","-","-","-","-","-","-","-","-"
"Presidente Lucena","4315149","-29.517600000000","-51.179800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16","16","16","16","15","6","6","6","6","3","3","3","3","3","3","3","3","3","3","2","2","1","1","1","1","1","1","1","1"
"Progresso","4315156","-29.244199999990","-52.319699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","89","89","45","89","89","93","93","70","150","150","80","80","74","74","74","74","-","14","15","15","15","10","7","7","7","7","7","7","8","8","6","-","-"
"Prot�sio Alves","4315172","-28.757200000000","-51.475700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","150","150","120","120","120","70","70","24","30","30","20","20","20","15","15","15","15","15","15","15","15","15","-","-","-","-","-","-","-","-","-","-","-"
"Putinga","4315206","-29.004500000000","-52.156900000000","80","175","270","223","255","270","270","100","108","140","140","140","84","140","140","140","140","100","100","100","100","100","80","20","8","8","8","8","8","8","5","-","8","5","2","-","-","-","-","-","-","-","-","1","1","1","1","1"
"Quara�","4315305","-30.384000000000","-56.448300000000","1.297","1.526","1.906","3.000","3.500","3.723","4.500","3.925","3.800","6.960","7.800","8.465","8.712","9.200","7.980","7.600","4.200","5.500","7.800","10.000","8.600","9.000","8.000","7.692","8.500","10.323","8.200","9.506","10.738","10.637","11.493","10.514","12.193","8.222","12.386","12.580","12.290","12.700","9.125","11.279","11.387","11.925","11.065","11.420","11.446","10.773","10.584","10.009"
"Quatro Irm�os","4315313","-27.816299999990","-52.441899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","8","3","3","3","3","3","3","4","4","4","1","-","-","-","-","-","-","-","-","-"
"Quevedos","4315321","-29.350400000000","-54.078899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","103","113","82","35","68","60","40","20","20","20","10","5","5","3","1","1","-","-","1","-","-","-","-","-","-","-","-","-","-"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","44","44","44","54","54","54","40","26","26","21","28","28","15","10","8","3","-","3","2","2","1","1","2","-","-","-","-","-","-","-","-","-","-"
"Redentora","4315404","-27.664000000000","-53.640700000000","400","259","300","250","30","-","130","130","130","110","110","110","110","80","60","60","60","55","45","45","135","120","66","90","70","70","70","70","70","70","70","70","70","70","70","70","50","10","2","-","-","-","-","-","-","-","-","-"
"Relvado","4315453","-29.116399999990","-52.077800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","39","39","39","39","30","30","30","25","18","18","18","18","17","5","5","7","7","7","7","5","2","2","2","1","1","1","1","1","2","2","2","-","-"
"Restinga S�ca","4315503","-29.818800000000","-53.380699999990","6.633","7.536","8.173","8.710","8.273","6.595","7.500","8.000","8.000","8.075","8.680","9.330","7.006","11.006","11.004","11.005","11.005","11.005","11.005","11.005","11.005","11.105","10.805","11.105","7.825","12.005","12.005","16.125","17.000","16.700","17.163","15.066","16.850","17.300","17.300","17.450","11.000","17.450","15.134","16.100","17.245","16.435","16.035","16.426","16.280","15.170","15.430","15.450"
"Rio dos �ndios","4315552","-27.297300000000","-52.841700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","40","40","40","54","54","40","54","54","40","25","5","2","-","6","6","6","5","5","5","5","5","2","2","2","2","-","-","-","-"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","9.500","9.908","11.018","9.500","6.700","11.700","8.500","14.180","14.180","14.180","15.200","16.000","16.000","16.000","19.000","20.800","21.000","21.000","24.000","28.000","28.000","26.000","13.117","20.000","19.950","20.250","20.000","15.000","14.700","13.800","16.800","19.540","16.240","16.700","18.300","19.800","20.590","20.500","20.500","19.350","20.000","22.092","19.277","19.267","17.323","17.190","17.422","18.292"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","15.800","14.758","16.075","15.600","16.750","11.488","14.100","14.600","14.600","14.150","15.100","15.200","15.000","15.200","15.100","9.900","10.100","9.100","9.600","9.040","8.540","8.540","6.005","6.505","6.003","7.503","8.003","8.003","8.503","9.545","10.900","9.900","9.600","10.520","10.520","10.820","10.320","11.800","10.000","10.000","9.500","9.250","6.955","8.200","8.500","8.550","7.700","8.500"
"Riozinho","4315750","-29.638999999990","-50.448799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","20","20","20","20","20","37","20","20","37","20","20","20","10","10","10","10","10","10","8","8","2","2","2","2","2","2","2","2","1","1","-"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","60","60","30","40","30","25","10","21","20","20","25","27","28","28","28","28","28","0","28","28","28","28","8","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rodeio Bonito","4315909","-27.474200000000","-53.170600000000","40","355","320","320","150","150","300","250","250","300","250","230","225","230","230","223","223","0","60","50","45","42","42","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","1","-","1","-","-","-","-","-","-","-"
"Rolador","4315958","-28.257670000000","-54.818640000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","110","50","58","10","5","5","5","2","2","2","2","20","20","20","-","-","-","-","-","-","-"
"Rolante","4316006","-29.646200000000","-50.581899999990","150","90","60","185","170","70","55","164","169","162","140","110","125","100","-","100","160","160","160","150","120","120","32","50","50","35","35","35","80","80","100","85","85","85","85","100","100","100","140","160","160","160","200","250","280","280","280","300"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","100","545","150","900","980","230","500","263","270","500","500","500","1.000","1.000","400","370","370","-","504","226","151","151","125","151","151","151","50","50","50","30","10","10","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-"
"Rondinha","4316204","-27.831499999990","-52.908099999990","300","134","300","234","150","33","160","91","90","100","60","60","45","45","45","45","50","0","25","16","16","16","48","20","20","30","15","15","15","15","15","10","5","5","5","4","4","-","-","-","-","-","-","-","-","-","-","-"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","95","100","100","100","95","90","85","98","90","54","24","20","30","58","63","30","20","20","35","130","380","155","12","10","10","10","10","10","5","5","6","-","4","4","4","4","4","-","-","-","-","-","-","-","-","-","-","-"
"Ros�rio do Sul","4316402","-30.251500000000","-54.922100000000","9.505","8.507","11.128","15.000","16.300","8.191","11.000","14.150","12.300","12.500","15.000","15.000","14.000","13.800","14.000","13.000","8.580","13.900","15.000","20.608","20.500","20.293","18.800","15.000","19.000","21.000","21.600","20.750","21.000","20.800","21.000","20.950","20.500","15.000","22.000","22.000","20.000","22.600","19.000","19.200","20.300","20.000","19.000","20.452","19.350","17.275","16.838","14.824"
"Sagrada Fam�lia","4316428","-27.708500000000","-53.135100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","120","120","60","32","30","30","12","12","12","12","12","12","12","12","12","12","12","1","-","-","-","-","-","-","-","-","-","-","-"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","42","40","60","50","80","60","50","23","50","25","18","18","15","15","15","10","-","8","8","6","6","6","6","6","6","3","-","-","-","-","-","-","-"
"Salto do Jacu�","4316451","-29.095099999990","-53.213299999990","...","...","...","...","...","...","...","...","...","50","55","55","65","75","60","60","80","100","100","100","100","100","167","26","80","80","60","30","30","30","30","10","20","20","20","10","10","5","5","-","-","-","-","-","-","-","-","-"
"Salvador das Miss�es","4316477","-28.123300000000","-54.837299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5","5","5","-","-","-","-","-","-","-","-","0","-","2","2","1","-","1","1","1","1","-","-","-","-","-","-","-","-"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","1.000","450","500","580","600","500","625","325","320","250","280","320","200","200","195","95","97","103","80","62","40","40","50","30","30","40","40","40","10","10","10","-","10","10","10","10","10","5","5","5","5","5","5","5","3","4","4","4"
"Sananduva","4316600","-27.946999999990","-51.807899999990","220","175","230","235","233","-","240","243","240","235","228","225","200","200","110","20","40","0","100","100","100","100","36","50","50","30","10","10","10","10","10","-","10","10","10","10","5","5","-","3","1","-","-","-","-","-","-","-"
"Santa B�rbara do Sul","4316709","-28.365300000000","-53.250999999990","450","370","420","400","400","400","400","318","420","420","450","420","330","200","120","158","158","0","130","130","100","100","280","30","30","24","24","24","20","20","10","10","10","10","10","8","8","8","8","-","-","-","-","-","-","-","-","-"
"Santa Cec�lia do Sul","4316733","-28.153700000000","-51.929600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","10","5","5","-","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santa Clara do Sul","4316758","-29.474699999990","-52.084299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","18","18","18","24","18","21","21","21","15","7","5","5","-","-","-","-","-","1","1","1","1","-","-","-","-","-","-","-","-"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","423","790","1.575","1.350","1.380","756","1.550","2.211","2.230","1.710","2.950","2.950","2.600","2.300","2.500","2.300","2.100","2.100","2.700","1.012","1.036","1.036","1.105","1.637","1.637","1.637","1.637","1.587","1.587","1.650","1.650","1.200","1.650","1.650","1.620","1.620","1.520","1.620","1.620","1.620","1.620","1.620","1.622","2.054","1.900","1.900","1.750","1.900"
"Santa Margarida do Sul","4316972","-30.329599999990","-54.082299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5.550","5.000","6.000","5.000","5.400","4.500","4.800","5.000","5.000","6.600","7.200","5.000","4.750","4.882","5.000","4.679","5.234","5.112","4.429","5.217","5.300"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","5.500","6.337","7.510","9.302","7.600","6.286","7.300","6.590","6.500","6.305","6.600","6.600","3.600","6.830","6.800","6.500","6.500","6.500","8.500","6.500","6.500","8.000","10.000","6.000","5.400","6.000","6.040","6.040","8.640","8.640","8.868","8.526","9.400","9.478","9.508","9.508","8.490","9.840","8.100","8.513","8.760","8.484","7.690","7.631","7.630","6.023","5.792","5.618"
"Santa Maria do Herval","4316956","-29.490200000000","-50.991900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","220","220","220","222","222","150","150","60","50","50","50","15","15","3","5","5","5","4","4","4","4","4","3","3","3","5","5","5","5","5","5","5","5"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","30","30","30","20","15","15","25","82","80","30","30","40","60","30","30","30","30","30","30","30","30","30","12","30","30","30","30","30","30","30","30","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santa Tereza","4317251","-29.165500000000","-51.735100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12","5","6","2","6","6","2","2","2","2","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santa Vit�ria do Palmar","4317301","-33.524999999990","-53.371699999990","38.000","41.338","48.064","40.000","44.544","47.408","53.000","55.000","55.737","57.000","64.368","60.000","60.000","70.000","70.000","78.000","80.000","88.000","92.000","93.000","90.000","90.000","53.000","57.479","65.179","75.370","70.731","62.000","62.000","59.500","74.400","75.000","53.656","46.169","56.762","64.065","66.535","70.737","67.877","70.325","70.000","68.545","68.848","70.901","68.848","65.737","63.251","68.617"
"Santana da Boa Vista","4317004","-30.869700000000","-53.109999999990","850","325","488","900","1.100","420","1.200","650","1.000","800","740","750","525","585","535","412","435","435","400","435","435","435","600","365","365","365","365","545","545","545","545","460","300","300","300","310","310","358","550","550","550","1.200","322","295","280","250","380","221"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","1.915","2.123","3.949","2.600","2.700","4.838","6.000","4.885","5.000","7.600","8.820","9.000","6.300","9.300","9.500","6.000","3.000","8.000","9.000","11.216","11.260","11.000","9.700","8.300","7.700","12.660","12.660","11.000","11.000","11.000","11.400","11.610","11.000","7.738","10.300","10.400","10.360","11.829","8.593","8.627","9.318","9.715","10.512","10.119","9.340","8.221","8.508","8.072"
"Santiago","4317400","-29.189699999990","-54.866599999990","33","300","300","300","300","300","300","250","300","885","700","750","770","770","920","641","700","350","500","550","650","650","420","120","190","170","130","130","130","20","50","75","75","20","65","63","63","-","-","-","-","-","-","-","-","-","-","-"
"Santo �ngelo","4317509","-28.300100000000","-54.266800000000","450","300","280","450","450","500","500","555","500","277","280","415","410","630","630","225","225","25","340","180","100","100","25","100","100","50","57","57","57","57","40","20","70","50","50","50","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Ant�nio da Patrulha","4317608","-29.826799999990","-50.517499999990","5.337","6.059","6.628","6.500","6.600","6.117","7.000","5.042","6.600","7.040","9.540","9.540","9.940","10.250","10.250","10.300","10.300","8.300","10.300","12.300","12.300","12.700","12.700","11.500","11.500","11.500","11.500","11.500","12.770","13.200","13.200","13.529","13.529","11.778","13.000","13.000","13.000","13.520","14.000","14.000","13.450","14.416","13.950","13.600","13.600","13.000","12.000","12.340"
"Santo Ant�nio das Miss�es","4317707","-28.513999999990","-55.225099999990","624","719","1.444","1.500","1.950","1.528","1.950","2.630","2.250","2.450","2.450","2.540","3.800","4.005","4.505","4.505","4.505","4.505","5.015","6.015","6.015","6.010","5.200","4.500","4.500","5.000","5.500","4.300","4.300","4.000","3.800","3.830","3.400","2.900","3.865","4.910","6.160","5.300","4.100","3.850","4.090","3.990","3.769","4.760","3.040","2.500","2.829","2.422"
"Santo Ant�nio do Palma","4317558","-28.495600000000","-52.026699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","35","35","35","42","25","25","10","10","10","10","10","10","10","10","10","10","10","5","5","4","4","4","4","4","4","4","4","4","-"
"Santo Ant�nio do Planalto","4317756","-28.403099999990","-52.699199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","66","30","30","16","20","20","20","15","15","10","10","6","5","5","5","5","4","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","90","90","90","90","-","280","250","347","498","448","150","200","200","300","150","300","300","300","320","230","130","115","160","130","130","100","110","80","60","50","60","60","80","90","70","70","70","60","30","-","30","20","-","-","-","-","-","-"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","100","150","120","80","60","50","60","85","85","30","69","30","30","30","60","60","10","10","10","10","10","10","11","10","10","10","10","10","10","10","15","-","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Expedito do Sul","4317954","-27.907399999990","-51.643300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","50","80","100","100","70","50","50","50","7","6","10","5","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Borja","4318002","-28.657800000000","-56.003599999990","13.015","14.667","17.723","16.000","21.035","19.976","22.500","24.200","24.000","23.100","30.000","30.000","35.280","35.000","35.000","34.800","35.000","30.000","38.000","40.000","36.000","42.000","36.968","25.000","26.500","35.200","35.200","34.272","35.700","33.850","41.373","38.205","44.360","42.865","45.320","49.982","48.825","50.000","48.525","50.390","51.000","46.325","41.964","44.000","43.612","38.406","37.584","38.300"
"S�o Domingos do Sul","4318051","-28.531199999990","-51.886000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","20","0","15","15","10","10","10","10","10","10","5","5","5","4","4","-","2","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-"
"S�o Francisco de Assis","4318101","-29.554700000000","-55.125300000000","1.593","2.254","2.368","3.000","3.000","3.067","3.500","3.500","4.500","3.500","4.000","4.200","5.600","6.535","6.050","6.050","5.550","5.550","6.330","3.130","3.130","3.530","3.600","2.800","4.500","4.500","5.000","5.000","4.250","4.250","4.250","4.000","4.250","4.000","4.340","4.380","3.055","4.941","3.476","3.170","3.500","3.470","2.911","4.164","3.450","2.935","2.738","2.935"
"S�o Francisco de Paula","4318200","-29.440400000000","-50.582799999990","30","100","120","120","115","150","155","80","90","60","60","55","55","55","55","39","39","39","39","39","39","39","8","10","10","8","8","8","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Gabriel","4318309","-30.333700000000","-54.321700000000","15.062","17.078","20.094","20.000","20.000","19.104","21.000","19.000","19.556","19.140","22.000","22.000","18.000","20.000","20.000","21.600","17.000","22.000","23.530","26.000","24.000","30.000","31.500","26.000","14.000","33.500","31.000","25.450","27.000","23.700","26.000","22.500","29.500","25.000","29.000","29.000","30.300","30.000","24.760","24.910","28.000","28.500","27.215","28.953","29.000","23.380","26.690","22.550"
"S�o Jer�nimo","4318408","-29.971599999990","-51.725099999990","1.600","1.526","1.765","1.410","1.450","856","1.400","1.500","1.600","1.067","1.000","1.150","1.120","1.120","1.000","1.540","1.540","1.540","1.540","1.394","1.370","1.220","1.200","1.200","1.280","1.350","1.350","1.035","1.300","1.200","1.350","1.550","2.000","2.000","2.200","2.000","1.800","1.500","1.200","1.200","1.250","1.250","2.040","2.150","2.040","2.040","1.240","1.200"
"S�o Jo�o da Urtiga","4318424","-27.819500000000","-51.825699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","100","80","8","80","80","80","80","40","40","40","40","20","20","20","20","10","-","10","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-"
"S�o Jo�o do Pol�sine","4318432","-29.619399999990","-53.443899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.700","1.530","1.530","1.620","1.650","1.700","1.750","1.800","1.850","2.007","2.030","2.050","1.900","1.900","1.900","2.000","2.000","2.000","2.000","2.000","2.033","2.033","2.033","2.033","2.033","2.033","2.033","2.033","2.033"
"S�o Jorge","4318440","-28.498400000000","-51.706400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","40","40","40","40","40","40","40","10","30","20","20","20","20","10","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� das Miss�es","4318457","-27.778900000000","-53.122599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","130","130","100","56","100","100","100","100","100","100","100","100","100","100","100","100","100","3","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Herval","4318465","-29.052000000000","-52.295000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","60","70","70","70","40","40","40","30","10","15","15","20","20","10","7","7","-","4","6","8","3","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Hort�ncio","4318481","-29.527999999990","-51.245000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","31","31","31","31","6","6","6","6","9","9","9","9","9","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","10"
"S�o Jos� do Inhacor�","4318499","-27.725100000000","-54.127499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","20","2","20","17","17","17","17","17","17","5","-","1","1","1","1","1","1","1","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Norte","4318507","-32.015099999990","-52.033099999990","1.174","1.445","1.633","1.300","910","1.139","1.200","1.950","1.950","1.950","2.500","3.000","3.850","4.000","4.000","3.400","3.400","4.000","2.000","3.000","3.100","2.730","4.678","1.715","1.871","1.682","1.300","2.000","2.000","2.000","2.000","2.000","2.000","2.200","2.200","2.114","2.114","1.984","2.101","2.101","2.000","2.000","2.000","1.800","2.000","1.482","1.482","1.482"
"S�o Jos� do Ouro","4318606","-27.770700000000","-51.596600000000","200","180","300","385","440","340","438","160","175","250","250","235","235","235","235","200","200","200","200","150","150","200","100","100","100","100","100","15","15","5","5","5","5","5","5","5","2","2","2","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Sul","4318614","-29.529000000000","-51.487099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� dos Ausentes","4318622","-28.747599999990","-50.067700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Leopoldo","4318705","-29.754500000000","-51.149799999990","5","1","5","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Louren�o do Sul","4318804","-31.356400000000","-51.971499999990","7.048","7.398","8.817","12.000","11.250","7.832","10.100","7.610","7.610","8.300","8.300","8.300","8.500","8.500","8.600","7.949","5.100","8.500","9.000","9.050","9.550","9.530","9.520","9.020","8.880","9.170","9.050","8.850","9.250","9.050","9.550","9.305","9.415","9.415","9.870","10.350","10.100","10.400","9.900","9.630","9.822","9.820","9.688","10.500","10.185","9.230","7.302","8.600"
"S�o Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","174","272","375","1.400","1.400","578","1.500","703","1.340","1.470","1.350","1.190","800","1.215","1.515","1.215","1.230","1.500","1.800","1.700","1.700","1.750","1.400","1.220","1.020","1.320","1.520","910","910","410","600","450","410","410","410","410","375","255","250","200","100","100","50","50","-","-","-","-"
"S�o Marcos","4319000","-28.967700000000","-51.069600000000","70","100","110","120","120","150","150","30","7","7","14","20","10","10","10","10","10","5","5","8","5","5","-","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Martinho","4319109","-27.711200000000","-53.969900000000","400","350","400","600","400","50","100","50","50","35","35","35","35","35","35","32","20","20","30","30","30","30","25","30","30","30","30","30","15","15","15","15","15","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Martinho da Serra","4319125","-29.539700000000","-53.859000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","210","210","210","210","210","210","210","200","200","200","200","130","200","200","150","150","150","150","140","60","60","45","45","45","45","45","45","45","45"
"S�o Miguel das Miss�es","4319158","-28.556000000000","-54.555900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","188","200","30","400","460","420","420","250","300","300","300","370","370","120","120","90","90","90","90","100","35","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Nicolau","4319208","-28.183399999990","-55.265400000000","835","600","560","1.000","1.000","1.000","1.000","600","775","900","900","920","450","310","410","220","170","150","320","315","315","315","380","315","215","365","415","415","370","230","110","60","60","200","200","140","30","30","-","80","80","-","-","-","-","-","-","-"
"S�o Paulo das Miss�es","4319307","-28.019500000000","-54.940399999990","38","38","45","45","45","50","60","16","16","30","30","30","-","20","25","30","15","0","15","20","20","20","10","5","5","10","5","3","3","5","7","10","10","10","6","5","3","-","-","-","-","-","-","-","-","1","-","-"
"S�o Pedro da Serra","4319356","-29.419300000000","-51.513399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","20","15","15","15","15","15","15","10","10","10","8","8","8","8","8","8","5","4","4","2","1","1","-","-","-","-","-","-"
"S�o Pedro das Miss�es","4319364","-27.773219999990","-53.250470000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3","3","3","3","3","3","3","3","3","5","5","5","3","-","-","-","-","-","-","-","-"
"S�o Pedro do Buti�","4319372","-28.124300000000","-54.892600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","15","15","4","5","3","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
