"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1974 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1975 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1976 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1977 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1978 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1979 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1980 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1981 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1982 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1983 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1984 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1985 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1986 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1987 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1988 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1989 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1990 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1991 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1992 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1993 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1994 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1995 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1996 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1997 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1998 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1999 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2000 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2001 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2002 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2003 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2004 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2005 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2006 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2007 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2008 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2009 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2010 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2011 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2012 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2013 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2014 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2015 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2016 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2017 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2018 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2019 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2020 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2021 (t)"
"Herval","4307104","-32.024000000000","-53.394399999990","324","400","360","3.304","7.186","3.950","5.250","5.945","10.000","11.000","12.500","15.000","15.000","15.000","15.000","9.450","1.500","7.500","7.500","15.000","14.000","31.625","12.650","10.400","12.600","19.583","14.320","2.290","1.920","1.440","1.440","2.898","1.125","3.000","2.400","3.847","4.200","5.018","3.360","3.550","3.520","4.758","5.268","5.600","5.184","1.200","-","3.136"
"Herveiras","4309571","-29.455200000000","-52.655299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","69","69","30","23","23","23","45","18","20","25","25","4","4","4","-","-","-","-","-","-","-","-","-","-","-"
"Horizontina","4309605","-27.628200000000","-54.305300000000","540","900","960","560","280","90","72","54","78","21","230","230","244","247","136","70","100","162","117","165","165","165","21","66","66","66","66","66","66","66","15","-","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Hulha Negra","4309654","-31.406700000000","-53.866700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4.230","4.800","7.000","5.050","10.200","6.895","12.750","11.000","16.500","12.648","3.467","5.083","10.437","8.175","3.457","6.413","7.905","7.905","12.185","9.307","7.975","7.975","9.000","7.410","7.802","7.000","3.761","4.003","4.133"
"Humait�","4309704","-27.569099999990","-53.969499999990","180","360","360","360","162","18","528","234","70","72","119","91","63","42","81","101","101","23","98","68","68","68","14","67","67","67","67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ibarama","4309753","-29.420300000000","-53.129500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","320","330","50","160","280","161","123","78","72","57","87","20","24","36","36","8","-","9","14","7","7","7","7","1","16","16","16","23","29","25","24","-","16"
"Ibia��","4309803","-28.056600000000","-51.859900000000","300","254","615","600","600","-","390","211","147","203","189","375","207","81","86","132","100","0","150","150","150","150","30","90","90","27","27","24","24","15","8","-","8","8","8","8","8","8","3","3","3","-","-","-","-","-","-","-"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","180","440","440","400","80","18","134","298","303","352","330","352","264","220","363","342","342","34","380","380","100","100","31","70","70","70","70","70","35","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ibirapuit�","4309951","-28.624700000000","-52.515799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","100","140","0","94","134","88","158","84","35","75","75","105","92","46","79","79","-","50","50","40","36","30","20","-","-","-","-","-","-","-","-","-","-"
"Ibirub�","4310009","-28.630199999990","-53.096100000000","120","360","300","360","360","700","900","218","150","225","305","280","290","433","347","344","335","212","404","404","312","312","84","330","264","96","88","102","142","142","82","40","40","40","29","29","29","18","75","60","30","18","18","18","60","-","-","-"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","180","50","64","144","138","136","40","92","52","45","42","32","20","80","49","104","26","20","20","20","20","20","23","20","26","26","26","13","13","13","13","2","8","8","8","8","7","8","4","4","1","1","-","-","-","-","-","2"
"Iju�","4310207","-28.388100000000","-53.920000000000","225","375","450","216","220","255","375","491","330","195","466","283","430","850","564","840","560","165","500","460","260","200","180","240","278","278","139","144","144","192","144","6","125","125","125","45","75","45","9","30","30","15","-","-","-","-","-","-"
"Il�polis","4310306","-28.928200000000","-52.125799999990","165","130","169","130","102","69","90","75","38","80","82","82","82","60","72","226","226","20","220","200","200","220","22","18","3","3","3","3","5","5","4","3","4","4","4","4","4","4","4","4","3","3","4","3","3","3","2","3"
"Imb�","4310330","-29.975300000000","-50.128100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","500","500","500","480","480","384","384","576","576","507","507","507","456","504","504","504","600","600","600","-","-","-","-","-","-","-","-","-","-","-","-","...","-"
"Imigrante","4310363","-29.350800000000","-51.774700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","28","44","44","44","30","30","30","18","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Independ�ncia","4310405","-27.835400000000","-54.188600000000","240","528","480","240","100","72","60","87","72","42","42","42","35","240","203","208","212","190","900","900","900","396","264","396","396","396","396","396","396","396","396","86","180","108","60","-","-","32","32","32","32","32","32","32","32","32","-","-"
"Inhacor�","4310413","-27.875200000000","-54.015000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","30","35","60","27","57","24","39","20","20","20","15","10","15","20","10","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ip�","4310439","-28.817100000000","-51.285899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","72","72","24","72","18","27","27","17","15","15","18","18","18","18","18","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","54","54","9","54","54","54","54","54","54","54","8","8","8","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ira�","4310504","-27.195100000000","-53.254300000000","48","288","323","153","30","15","80","213","120","102","163","176","145","98","115","195","195","0","225","252","252","252","63","54","54","45","45","45","45","45","45","45","45","45","45","90","48","32","12","12","12","20","6","16","4","5","5","5"
"Itaara","4310538","-29.601299999990","-53.772500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itacurubi","4310553","-28.791300000000","-55.244700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10.061","3.023","3.007","6.023","14.303","13.329","22.518","12.420","18.000","13.388","17.500","15.200","15.750","8.820","6.840","17.386","13.223","13.000","11.120","14.595","11.575","11.550","10.691","9.900","5.025","6.156","6.384","5.738","6.075","6.075","6.450","5.313","6.450"
"Itapuca","4310579","-28.776800000000","-52.169300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","130","130","162","80","40","30","20","9","9","5","3","4","-","3","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itaqui","4310603","-29.131000000000","-56.551499999990","83.491","111.445","125.407","121.500","104.721","133.678","132.311","158.080","135.812","144.509","202.400","202.500","165.600","210.720","285.000","235.000","255.000","258.500","324.800","338.000","319.500","355.000","319.800","182.000","182.235","363.940","342.487","296.316","359.697","235.693","357.657","368.619","458.118","381.027","491.250","496.280","420.742","610.352","552.240","605.660","599.418","587.103","453.395","577.500","612.150","459.204","551.120","534.475"
"Itati","4310652","-29.488320000000","-50.113579999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","12","12","12","12","13","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","451","920","1.080","1.058","322","-","300","94","66","60","50","45","30","16","40","60","60","-","38","37","37","50","54","42","15","27","27","27","3","33","17","-","12","12","8","1","3","5","-","-","-","-","-","-","-","-","-","-"
"Ivor�","4310751","-29.523199999990","-53.584200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","54","54","10","20","36","45","150","94","216","290","300","227","166","210","168","193","228","193","210","280","280","315","315","375","375","325","500","400","400","383","383","388","360"
"Ivoti","4310801","-29.599499999990","-51.153300000000","20","100","130","187","150","30","102","113","65","14","16","18","17","20","18","24","24","10","18","1","1","1","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jaboticaba","4310850","-27.634699999990","-53.276200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","450","300","32","464","464","404","404","145","360","408","324","324","324","324","324","324","288","288","288","288","288","45","45","3","10","-","-","-","-","-","-","-","-"
"Jacuizinho","4310876","-29.021999999990","-53.053699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","26","20","12","-","15","15","15","12","12","10","-","-","-","-","-","-","-","-","-","-"
"Jacutinga","4310900","-27.729099999990","-52.537199999990","912","1.680","1.186","1.495","840","-","1.200","198","122","240","228","180","110","90","79","440","308","0","238","98","98","98","22","28","63","50","52","41","21","41","12","6","4","4","4","-","4","-","-","-","-","-","-","-","-","-","-","-"
"Jaguar�o","4311007","-32.560400000000","-53.377000000000","53.609","54.572","55.077","63.046","49.845","44.210","55.440","58.100","67.200","49.000","61.600","70.000","70.000","49.000","70.000","105.264","77.140","102.080","121.000","123.943","111.450","121.000","124.020","101.970","102.101","123.750","124.980","108.996","86.813","91.800","97.361","110.803","108.580","126.380","136.350","148.845","147.124","172.565","152.543","152.633","168.629","185.760","168.834","175.365","165.794","153.425","161.252","167.000"
"Jaguari","4311106","-29.493600000000","-54.703000000000","1.136","2.374","3.114","3.048","3.150","2.177","3.335","4.275","5.500","2.368","4.500","4.500","4.455","9.631","9.192","10.378","8.680","8.626","10.752","11.069","9.260","10.795","11.088","10.076","9.575","13.275","14.000","11.980","12.825","9.055","14.920","14.476","17.150","17.150","17.150","15.925","12.880","18.720","12.960","16.317","16.577","17.246","15.914","18.260","19.210","14.612","17.040","17.039"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","9","10","6","10","16","16","16","1","6","1","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jari","4311130","-29.292200000000","-54.223700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","183","193","73","72","53","31","53","30","15","45","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J�ia","4311155","-28.643500000000","-54.114100000000","...","...","...","...","...","...","...","...","...","492","629","663","575","667","531","650","790","65","392","300","200","100","255","150","150","150","75","150","100","66","66","-","9","22","22","22","22","22","22","-","-","-","-","-","-","-","2","2"
"J�lio de Castilhos","4311205","-29.229800000000","-53.677199999990","420","840","840","720","840","576","720","631","575","548","1.100","895","482","900","750","1.005","1.575","743","1.960","1.567","1.637","1.237","1.180","1.060","615","900","840","264","310","444","120","75","100","60","40","27","27","10","-","-","-","-","-","-","-","-","-","-"
"Lagoa Bonita do Sul","4311239","-29.488199999990","-53.013800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","9","9","9","9","2","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-"
"Lagoa dos Tr�s Cantos","4311270","-28.567599999990","-52.861800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","29","32","32","15","3","3","8","8","8","8","10","9","-","8","8","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","162","342","360","540","128","32","605","418","410","752","800","850","400","625","720","495","495","74","495","495","506","506","168","471","471","342","80","48","24","24","24","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lago�o","4311254","-29.234800000000","-52.799700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","60","105","12","14","84","84","144","55","84","84","116","116","121","121","138","35","-","75","75","75","75","37","45","20","10","-","-","-","-","-","-","-","-"
"Lajeado","4311403","-29.459099999990","-51.964399999990","120","120","190","120","144","110","150","441","280","462","600","810","430","529","645","405","399","104","345","225","225","225","90","9","6","6","6","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lajeado do Bugre","4311429","-27.691299999990","-53.181800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","200","200","100","30","30","30","30","30","30","30","30","30","27","40","40","40","40","6","6","-","-","-","-","-","-","-","-","-","-"
"Lavras do Sul","4311502","-30.807099999990","-53.893099999990","5.376","8.196","9.756","20.414","14.227","5.624","15.301","8.980","17.600","9.800","13.066","12.080","3.000","8.750","11.250","11.875","7.875","6.300","11.000","12.500","13.300","9.360","9.261","6.894","6.894","6.894","6.894","6.894","11.725","11.725","17.551","20.762","17.174","18.600","18.755","21.420","21.420","18.826","16.740","24.043","20.770","20.770","21.601","28.781","27.000","28.148","22.913","26.291"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","180","328","342","365","150","9","120","120","40","60","72","72","60","24","19","60","36","3","27","44","44","44","67","66","44","22","22","22","22","22","22","24","40","40","40","40","10","-","-","-","-","-","-","-","-","-","-","-"
"Lindolfo Collor","4311627","-29.585899999990","-51.214100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","23","23","23","14","7","7","12","12","12","12","14","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Linha Nova","4311643","-29.467900000000","-51.200299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","16","12","8","8","13","12","12","12","12","10","2","12","12","8","8","8","8","5","6","6","6","6","6","6","8","4","4"
"Ma�ambar�","4311718","-29.144500000000","-56.067399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","126.500","59.800","106.175","95.530","99.734","131.677","90.496","141.920","103.815","128.794","93.559","127.875","140.790","114.750","149.785","106.119","119.600","118.023","126.360","102.494","120.000","126.400","138.526","175.143","167.605"
"Machadinho","4311700","-27.566700000000","-51.666800000000","261","581","580","880","200","80","1.100","360","350","525","300","300","300","240","325","300","300","15","300","300","300","300","85","220","110","22","22","24","24","7","7","-","-","-","-","-","-","-","-","-","-","-","-","5","5","10","9","9"
"Mampituba","4311734","-29.213600000000","-49.931100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.793","4.126","5.395","6.588","5.932","6.589","7.774","6.609","4.660","5.294","1.384","8.363","8.362","8.363","8.192","7.650","6.660","7.020","6.750","6.750","6.750","6.795","6.765","6.755","6.757"
"Manoel Viana","4311759","-29.585899999990","-55.484099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16.000","11.200","20.000","18.000","15.750","12.250","17.500","15.750","24.800","24.552","18.080","16.500","25.744","24.900","22.410","24.000","23.985","18.434","30.450","20.956","22.159","20.302","21.977","7.839","23.880","18.815","5.590","18.353","22.750"
"Maquin�","4311775","-29.679800000000","-50.207900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","75","75","75","30","30","53","30","30","30","30","30","2.278","2.100","2.100","1.080","1.800","2.100","3.000","2.268","2.395","2.395","2.395","2.395","2.275","2.275","2.470","2.503","2.503","2.503"
"Marat�","4311791","-29.545700000000","-51.557299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","11","11","11","14","18","18","25","25","25","25","25","25","18","25","25","25","25","25","25","25","25","25","25","-","-","-","-","-","-"
"Marau","4311809","-28.449800000000","-52.198599999990","459","721","592","2.000","750","250","1.100","795","480","942","1.388","1.168","888","538","380","405","375","128","450","340","296","360","284","330","330","294","390","288","288","240","140","-","168","120","120","42","5","5","-","-","-","-","-","-","-","-","-","-"
"Marcelino Ramos","4311908","-27.467600000000","-51.909500000000","99","240","400","300","-","24","46","100","60","96","48","48","36","36","53","120","120","0","125","125","75","75","85","85","45","45","45","45","30","45","23","-","50","75","30","12","15","23","6","-","-","-","-","-","-","-","-","-"
"Mariana Pimentel","4311981","-30.353100000000","-51.580300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.431","2.701","4.162","2.160","3.255","2.605","2.502","2.502","2.502","2.502","2.502","2.502","2.206","3.242","3.134","3.902","3.992","4.828","4.829","4.796","5.457","5.457","5.823","5.823","5.868","5.868","4.456","4.800","6.000"
"Mariano Moro","4312005","-27.356800000000","-52.146700000000","160","124","304","225","-","24","100","63","45","48","24","24","36","18","36","58","64","0","64","64","60","60","38","40","62","63","62","30","5","38","15","8","18","12","9","2","9","9","2","-","-","-","-","-","-","-","-","-"
"Marques de Souza","4312054","-29.331099999990","-52.097299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","29","29","28","28","29","29","18","15","-","15","15","15","12","5","6","3","3","-","-","-","-","-","-","-","-"
"Mata","4312104","-29.564900000000","-54.464100000000","2.784","3.742","3.943","3.448","3.456","2.675","3.360","4.032","4.128","2.527","4.762","4.973","2.698","4.560","4.219","4.453","4.354","4.417","5.012","5.512","4.412","7.356","8.278","7.505","7.125","8.250","8.800","8.800","8.800","7.616","8.960","9.562","9.600","9.600","9.600","11.700","10.800","12.808","9.100","9.100","9.100","8.450","8.970","13.446","9.100","5.850","8.473","9.360"
"Mato Castelhano","4312138","-28.280000000000","-52.193199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","87","105","120","73","132","135","125","55","60","53","53","66","31","51","32","32","32","32","32","17","20","20","20","20","20","20","20","20","20"
"Mato Leit�o","4312153","-29.528500000000","-52.127800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","23","77","78","-","62","31","31","31","-","-","5","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mato Queimado","4312179","-28.247500000000","-54.619199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","3","5","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Maximiliano de Almeida","4312203","-27.632500000000","-51.802100000000","240","87","190","221","60","30","300","138","72","132","132","180","60","96","156","180","225","0","180","180","180","180","48","72","24","24","24","24","24","24","24","-","12","5","5","5","5","5","5","5","5","-","-","-","-","-","-","-"
"Minas do Le�o","4312252","-30.134599999990","-52.042299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","13.170","9.781","8.740","10.500","9.435","9.435","11.660","15.900","16.630","16.798","14.400","20.350","16.650","22.000","22.000","31.900","30.000","23.100","26.650","21.140","21.460","17.690","21.170","10.218","14.034","14.400","12.676","11.844","11.200"
"Miragua�","4312302","-27.497000000000","-53.689100000000","180","270","270","270","122","14","270","396","198","120","198","156","108","144","87","216","216","72","264","172","172","56","27","44","44","44","44","17","8","10","10","16","20","20","20","20","10","-","-","-","-","-","-","-","-","-","-","-"
"Montauri","4312351","-28.646200000000","-52.076700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","46","46","0","53","53","53","53","32","27","11","11","-","-","-","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Monte Alegre dos Campos","4312377","-28.680499999990","-50.783400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Monte Belo do Sul","4312385","-29.160699999990","-51.633299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","11","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Montenegro","4312401","-29.682400000000","-51.467900000000","421","620","595","1.250","500","569","313","827","961","952","1.784","1.784","1.048","924","906","470","920","1.220","1.224","1.420","1.420","1.420","1.122","1.189","1.543","1.300","1.275","1.275","1.275","1.275","1.270","1.014","2.024","2.024","2.024","2.024","2.024","1.886","1.886","1.886","1.886","1.886","1.886","2.745","3.398","2.265","1.950","2.340"
"Morma�o","4312427","-28.696800000000","-52.699900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","96","96","264","64","75","75","75","75","85","75","36","30","-","9","4","4","4","5","-","-","-","-","-","-","-","-","-","-","-"
"Morrinhos do Sul","4312443","-29.357800000000","-49.932800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.379","3.450","3.450","3.560","4.050","2.858","2.858","4.072","4.113","6.063","7.863","5.851","9.417","9.416","7.440","8.060","9.392","9.393","9.328","9.393","9.720","9.392","9.537","9.537","9.682","9.465","9.512","9.528","9.525"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","31","27","27","27","27","27","18","-","-","-","-","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Morro Reuter","4312476","-29.537900000000","-51.081099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","100","50","50","25","35","28","49","49","49","4","4","4","1","4","4","4","4","4","4","3","4","4","4","4","4","4","5","6","5"
"Mostardas","4312500","-31.105399999990","-50.916699999990","33.500","41.988","46.324","36.480","34.850","42.368","38.000","67.090","59.055","49.560","79.390","82.560","85.100","89.240","92.250","80.776","106.324","107.325","108.000","151.205","134.400","156.510","138.000","129.000","120.000","169.540","158.160","158.400","165.000","153.600","188.258","211.738","196.446","207.696","213.240","243.600","212.850","243.986","254.299","258.305","257.455","260.757","231.397","269.797","244.484","222.172","215.964","246.636"
"Mu�um","4312609","-29.163000000000","-51.871400000000","105","105","190","140","140","12","72","122","63","95","110","145","84","107","102","102","72","0","72","80","50","40","43","12","12","2","2","2","2","2","2","-","2","2","2","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Muitos Cap�es","4312617","-28.313199999990","-51.183599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","48","48","48","41","51","34","34","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Muliterno","4312625","-28.325299999990","-51.769700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","60","60","60","24","18","0","26","26","34","43","43","51","-","27","21","13","13","6","6","-","-","-","-","-","-","-","-","-","-"
"N�o-Me-Toque","4312658","-28.454799999990","-52.818199999990","408","540","600","400","80","50","126","223","198","234","90","120","30","120","40","220","220","2","64","50","48","48","54","48","48","48","48","60","15","15","15","8","12","12","13","8","-","-","-","-","-","-","-","-","-","-","-","-"
"Nicolau Vergueiro","4312674","-28.529800000000","-52.467599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","84","78","85","8","12","66","54","59","64","55","55","27","-","27","25","17","10","4","-","-","-","-","-","-","-","-","-","-","-"
"Nonoai","4312708","-27.368900000000","-52.775599999990","144","1.225","900","825","250","225","1.350","1.000","700","741","1.000","968","720","460","580","614","828","0","200","60","30","30","175","175","12","96","120","90","36","108","72","-","86","86","54","24","18","18","6","5","5","3","-","-","-","-","-","-"
"Nova Alvorada","4312757","-28.682200000000","-52.163100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","126","126","13","153","136","136","160","90","65","30","30","16","21","17","17","17","3","12","16","16","-","-","-","-","-","-","-","-","2","5","2","-","-"
"Nova Ara��","4312807","-28.653700000000","-51.745800000000","38","38","40","30","27","13","33","66","22","26","33","33","25","40","26","39","38","4","38","45","45","45","7","20","10","10","5","5","3","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","300","285","300","225","143","69","173","145","98","132","165","165","110","165","88","220","150","20","150","120","120","120","50","30","30","20","20","20","10","45","45","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Boa Vista","4312955","-27.992599999990","-52.978400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","41","41","41","19","42","27","9","9","9","9","9","9","3","9","9","9","5","6","-","-","-","-","-","-","-","-","2","4","4"
"Nova Br�scia","4313003","-29.218200000000","-52.031900000000","60","175","76","64","48","30","50","192","108","130","140","140","84","126","126","263","149","-","126","126","153","77","50","34","34","17","17","10","10","10","14","14","14","14","10","10","6","4","1","2","2","-","-","-","-","-","-","-"
