"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1974 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1975 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1976 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1977 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1978 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1979 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1980 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1981 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1982 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1983 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1984 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1985 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1986 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1987 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1988 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1989 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1990 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1991 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1992 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1993 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1994 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1995 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1996 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1997 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1998 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1999 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2000 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2001 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2002 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2003 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2004 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2005 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2006 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2007 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2008 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2009 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2010 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2011 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2012 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2013 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2014 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2015 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2016 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2017 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2018 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2019 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2020 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2021 (t)"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","112","84","84","20","84","84","66","66","67","67","67","67","67","66","66","67","28","29","35","-","-","-","-","-","15","-","10","10","6"
"Andr� da Rocha","4300661","-28.628299999990","-51.579700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","120","120","32","60","60","30","30","15","15","15","10","5","3","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","73","224","450","224","205","243","418","72","41","74","77","77","23","55","55","150","165","0","165","165","116","165","79","162","162","162","120","120","120","120","48","-","48","60","60","30","30","30","30","30","15","15","15","15","15","8","8","6"
"Ant�nio Prado","4300802","-28.856500000000","-51.288300000000","48","48","48","120","72","72","84","166","120","80","80","200","120","130","55","100","120","7","90","120","60","40","-","5","-","-","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arambar�","4300851","-30.909300000000","-51.504600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","59.840","56.650","61.600","62.100","56.000","47.600","64.592","65.766","63.825","63.825","62.388","86.263","71.039","73.928","99.638","92.816","102.046","88.937","106.119","100.450","98.292","94.681","112.800","99.252","106.766","89.200","101.548","116.600","114.851"
"Araric�","4300877","-29.616800000000","-50.929099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","3","3","3","3","3","3","3","3","3","3","3","2","3","2","2","4","4","4","4","4","4","-","-","-"
"Aratiba","4300901","-27.397800000000","-52.297499999990","288","595","588","588","360","-","325","308","180","242","264","198","172","132","168","600","300","15","165","114","76","76","99","114","60","23","18","32","17","24","6","-","36","36","20","3","27","36","3","-","-","-","-","-","-","-","-","-"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","144","72","75","90","75","40","63","239","96","160","178","165","104","261","150","130","120","32","60","28","28","28","21","21","21","10","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio do Padre","4301073","-31.431600000000","-52.417099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","238","240","225","230","230","230","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","66","120","114","330","50","251","150","143","135","130","200","200","20","420","63","420","380","15","360","360","288","288","110","102","36","108","108","120","60","50","40","-","20","40","40","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","420","209","178","743","840","396","240","595","662","370","510","470","430","430","440","120","135","166","400","450","360","280","130","200","200","280","240","300","350","18","-","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","74.370","84.318","77.977","104.440","84.370","68.950","107.100","99.834","108.000","86.400","84.360","88.200","100.800","100.224","103.200","185.220","83.250","160.000","185.000","207.075","188.250","224.250","184.000","172.547","143.013","220.000","188.100","201.949","168.000","167.300","216.000","206.086","243.750","255.096","275.296","288.123","253.619","327.845","255.129","272.057","274.000","337.840","311.584","367.929","315.333","241.045","251.939","305.598"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","75","730","727","728","588","256","1.350","300","168","400","500","500","200","500","240","388","388","116","388","170","132","198","57","63","63","32","13","14","14","18","14","-","14","18","18","18","12","12","7","5","5","6","6","6","6","3","2","2"
